date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:17	39742/39742	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Jun%202018%2013:23:17%20GMT	https://www.jarrisonsanewhairexperience.co.uk/	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/index.html	(from )
14:23:17	125/125	---MCZ	200	added ('OK')	text/plain	date:Wed,%2020%20Jun%202018%2013:23:17%20GMT	https://www.jarrisonsanewhairexperience.co.uk/robots.txt		(from )
14:23:17	242/242	---M--	200	added ('OK')	image/x-icon	etag:W/%22242-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/favicon_d1_res.ico	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/favicon_d1_res.ico	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:17	10881/10881	---MCZ	200	added ('OK')	text/css	etag:W/%2210881-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/css/d-css-foundation.min.css?version=2018-06-18T14_58_21	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/css/d-css-foundation.minf4cc.css	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:18	126474/126474	---M-Z	200	added ('OK')	text/css	etag:W/%22126474-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/css/font-css/googlefonts.css	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/css/font-css/googlefonts.css	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:18	54386/54386	---MCZ	200	added ('OK')	text/css	etag:W/%2254386-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/css/css-font-package.min.css?version=2018-06-18T14_58_21	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/css/css-font-package.minf4cc.css	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:18	302805/302805	---MCZ	200	added ('OK')	text/css	etag:W/%22302805-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/css/d-css-runtime-desktop-one-package-new.min.css?version=2018-06-18T14_58_21	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/css/d-css-runtime-desktop-one-package-new.minf4cc.css	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:20	199172/199172	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202017%2010:17:56%20GMT	http://irp-cdn.multiscreensite.com/a188ca23/files/a188ca23_1.min.css?v=4	C:/My%20Web%20Sites/Jarrisons/irp-cdn.multiscreensite.com/a188ca23/files/a188ca23_1.min7b30.css	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:20	476/476	---M-Z	200	added ('OK')	text/css	etag:W/%22476-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/css/yell/yell-runtime.css?version=2018-06-18T14_58_21	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/css/yell/yell-runtimef4cc.css	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:21	1910/1910	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202017%2010:17:55%20GMT	http://irp-cdn.multiscreensite.com/a188ca23/files/a188ca23_home_1.min.css?v=4	C:/My%20Web%20Sites/Jarrisons/irp-cdn.multiscreensite.com/a188ca23/files/a188ca23_home_1.min7b30.css	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:22	837/837	---MC-	200	added ('OK')	text/javascript	date:Wed,%2020%20Jun%202018%2013:23:22%20GMT	https://www.google.com/recaptcha/api.js?onload=onCaptchaLoad&render=explicit	C:/My%20Web%20Sites/Jarrisons/www.google.com/recaptcha/api1bbf.js	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:24	61540/61540	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261540-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-package.min.js?version=2018-06-18T14_58_21	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-package.minf4cc.js	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:27	84245/84245	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/My%20Web%20Sites/Jarrisons/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:27	452162/452162	---MCZ	200	added ('OK')	application/javascript	etag:W/%22452162-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/scripts/d-js-runtime-one-package.min.js?version=2018-06-18T14_58_21	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/scripts/d-js-runtime-one-package.minf4cc.js	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:29	2350/2350	---MCZ	200	added ('OK')	application/javascript	etag:W/%222350-1529333892000%22	https://www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-desktop.min.js?version=2018-06-18T14_58_21	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-desktop.minf4cc.js	(from https://www.jarrisonsanewhairexperience.co.uk/)
14:23:32	40856/40856	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Jun%202018%2013:23:30%20GMT	https://www.jarrisonsanewhairexperience.co.uk/hairdressing-services	C:/My%20Web%20Sites/Jarrisons/www.jarrisonsanewhairexperience.co.uk/hairdressing-services.html	(from https://www.jarrisonsanewhairexperience.co.uk/)
